cover_path,stego_path,mse,psnr
covers_jpeg/59.jpeg,stegos_jpeg/stego_59.jpeg,319.8162,53.1478
covers_jpeg/62.jpeg,stegos_jpeg/stego_62.jpeg,233.2123,56.3058
covers_jpeg/24.jpeg,stegos_jpeg/stego_24.jpeg,143.9619,61.1298
covers_jpeg/37.jpeg,stegos_jpeg/stego_37.jpeg,222.3067,56.7847
covers_jpeg/77.jpeg,stegos_jpeg/stego_77.jpeg,340.9903,52.5067
covers_jpeg/92.jpeg,stegos_jpeg/stego_92.jpeg,104.9119,64.2941
covers_jpeg/28.jpeg,stegos_jpeg/stego_28.jpeg,240.5095,55.9977
covers_jpeg/69.jpeg,stegos_jpeg/stego_69.jpeg,140.5406,61.3703
covers_jpeg/18.jpeg,stegos_jpeg/stego_18.jpeg,163.5644,59.8532
covers_jpeg/73.jpeg,stegos_jpeg/stego_73.jpeg,353.6360,52.1426
covers_jpeg/96.jpeg,stegos_jpeg/stego_96.jpeg,165.6494,59.7265
covers_jpeg/81.jpeg,stegos_jpeg/stego_81.jpeg,324.7916,52.9934
covers_jpeg/40.jpeg,stegos_jpeg/stego_40.jpeg,157.6751,60.2199
covers_jpeg/78.jpeg,stegos_jpeg/stego_78.jpeg,177.8098,59.0181
covers_jpeg/36.jpeg,stegos_jpeg/stego_36.jpeg,328.7285,52.8729
covers_jpeg/94.jpeg,stegos_jpeg/stego_94.jpeg,113.5614,63.5018
covers_jpeg/33.jpeg,stegos_jpeg/stego_33.jpeg,277.9984,54.5491
covers_jpeg/12.jpeg,stegos_jpeg/stego_12.jpeg,162.1588,59.9395
covers_jpeg/7.jpeg,stegos_jpeg/stego_7.jpeg,230.8313,56.4084
covers_jpeg/3.jpeg,stegos_jpeg/stego_3.jpeg,181.1649,58.8312
covers_jpeg/10.jpeg,stegos_jpeg/stego_10.jpeg,113.8603,63.4755
covers_jpeg/51.jpeg,stegos_jpeg/stego_51.jpeg,343.9219,52.4211
covers_jpeg/82.jpeg,stegos_jpeg/stego_82.jpeg,163.6375,59.8487
covers_jpeg/74.jpeg,stegos_jpeg/stego_74.jpeg,106.8944,64.1069
covers_jpeg/2.jpeg,stegos_jpeg/stego_2.jpeg,122.0461,62.7813
covers_jpeg/15.jpeg,stegos_jpeg/stego_15.jpeg,132.7972,61.9370
covers_jpeg/64.jpeg,stegos_jpeg/stego_64.jpeg,181.9084,58.7902
-,-,Average_MSE:208.7963,Average_PSNR:58.3307
